Polarity,Subjectivity
-0.4,0.6
0.0,0.0
0.18,0.42000000000000004
0.0,0.0
0.16666666666666666,0.5666666666666668
0.5,0.8888888888888888
0.0,0.0
0.3,0.2
0.0,0.0
-0.5,0.95
-0.2,0.6
-0.5166666666666667,0.8833333333333333
1.0,0.3
-0.1,0.4
0.0,0.0
-0.3,0.5888888888888889
0.0,0.0
0.05,0.95
0.2,0.4
0.25000000000000006,0.65
0.3,0.2
0.0,0.0
-0.5,0.95
-0.2,0.6
-0.5166666666666667,0.8833333333333333
1.0,0.3
-0.1,0.4
0.0,0.0
-0.3,0.5888888888888889
0.0,0.0
0.05,0.95
0.2,0.4
0.25000000000000006,0.65
0.4791666666666667,0.43333333333333335
0.7,0.6000000000000001
0.08333333333333333,0.25833333333333336
1.0,0.3
0.0,0.05
0.0,0.06666666666666667
-0.2,0.6
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.0
-0.3125,0.5
-0.2,0.6
-0.25,0.5
0.0,0.0
0.0,0.0
-0.4,0.6
0.5,0.4
0.0,0.05
0.0,0.06666666666666667
-0.2,0.6
0.0,0.5
0.0,0.0
0.0,0.0
0.0,0.0
-0.3125,0.5
-0.2,0.6
-0.25,0.5
0.0,0.0
0.0,0.0
-0.4,0.6
0.5,0.4
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.7,0.6000000000000001
0.0,0.0
0.0,0.0
0.0,0.4
0.0,0.0
0.5,1.0
0.3666666666666667,0.75
0.0,0.0
0.0,0.0
0.0,0.4
0.0,0.0
0.5,1.0
0.3666666666666667,0.75
0.0,0.0
0.8,0.75
0.25,0.5
0.2,0.9
0.08333333333333333,0.41666666666666663
-0.3499999999999999,0.6333333333333333
0.26785714285714285,0.6428571428571429
0.0,0.0
0.375,0.2
-0.75,0.95
-0.45572916666666674,0.5416666666666666
0.0,0.0
0.0,0.75
0.7,0.6000000000000001
0.0,0.0
0.0,0.0
