('neg', 0.508):('neu', 0.492):('pos', 0.0):('compound', -0.7351)
('neg', 0.0):('neu', 0.94):('pos', 0.06):('compound', 0.2263)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.7):('pos', 0.3):('compound', 0.7305)
('neg', 0.0):('neu', 0.805):('pos', 0.195):('compound', 0.4404)
('neg', 0.184):('neu', 0.816):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.704):('pos', 0.296):('compound', 0.6369)
('neg', 0.0):('neu', 0.914):('pos', 0.086):('compound', 0.4404)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.211):('neu', 0.547):('pos', 0.242):('compound', 0.1027)
('neg', 0.0):('neu', 0.519):('pos', 0.481):('compound', 0.802)
('neg', 0.0):('neu', 0.417):('pos', 0.583):('compound', 0.4215)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.143):('neu', 0.476):('pos', 0.381):('compound', 0.6696)
('neg', 0.167):('neu', 0.833):('pos', 0.0):('compound', -0.4939)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.884):('pos', 0.116):('compound', 0.3612)
('neg', 0.351):('neu', 0.649):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.872):('pos', 0.128):('compound', 0.296)
('neg', 0.193):('neu', 0.683):('pos', 0.124):('compound', -0.2732)
('neg', 0.096):('neu', 0.429):('pos', 0.475):('compound', 0.891)
('neg', 0.0):('neu', 0.914):('pos', 0.086):('compound', 0.4404)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.211):('neu', 0.547):('pos', 0.242):('compound', 0.1027)
('neg', 0.0):('neu', 0.519):('pos', 0.481):('compound', 0.802)
('neg', 0.0):('neu', 0.417):('pos', 0.583):('compound', 0.4215)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.143):('neu', 0.476):('pos', 0.381):('compound', 0.6696)
('neg', 0.167):('neu', 0.833):('pos', 0.0):('compound', -0.4939)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.884):('pos', 0.116):('compound', 0.3612)
('neg', 0.351):('neu', 0.649):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.872):('pos', 0.128):('compound', 0.296)
('neg', 0.193):('neu', 0.683):('pos', 0.124):('compound', -0.2732)
('neg', 0.096):('neu', 0.429):('pos', 0.475):('compound', 0.891)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.247):('neu', 0.753):('pos', 0.0):('compound', -0.508)
('neg', 0.0):('neu', 0.0):('pos', 1.0):('compound', 0.5994)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.756):('pos', 0.244):('compound', 0.4404)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.229):('neu', 0.424):('pos', 0.347):('compound', 0.34)
('neg', 0.351):('neu', 0.649):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.796):('pos', 0.204):('compound', 0.7096)
('neg', 0.0):('neu', 0.487):('pos', 0.513):('compound', 0.9286)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.229):('neu', 0.424):('pos', 0.347):('compound', 0.34)
('neg', 0.351):('neu', 0.649):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.796):('pos', 0.204):('compound', 0.7096)
('neg', 0.0):('neu', 0.487):('pos', 0.513):('compound', 0.9286)
('neg', 0.248):('neu', 0.55):('pos', 0.202):('compound', -0.128)
('neg', 0.09):('neu', 0.534):('pos', 0.376):('compound', 0.7881)
('neg', 0.218):('neu', 0.565):('pos', 0.218):('compound', 0.0)
('neg', 0.231):('neu', 0.769):('pos', 0.0):('compound', -0.25)
('neg', 0.15):('neu', 0.694):('pos', 0.156):('compound', 0.0258)
('neg', 0.246):('neu', 0.664):('pos', 0.09):('compound', -0.575)
('neg', 0.421):('neu', 0.309):('pos', 0.27):('compound', -0.2416)
('neg', 0.293):('neu', 0.707):('pos', 0.0):('compound', -0.6597)
('neg', 0.0):('neu', 0.556):('pos', 0.444):('compound', 0.75)
('neg', 0.263):('neu', 0.737):('pos', 0.0):('compound', -0.8201)
('neg', 0.329):('neu', 0.671):('pos', 0.0):('compound', -0.3507)
('neg', 0.0):('neu', 0.828):('pos', 0.172):('compound', 0.4404)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.492):('pos', 0.508):('compound', 0.6319)
('neg', 0.162):('neu', 0.838):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.698):('pos', 0.302):('compound', 0.0772)
('neg', 0.184):('neu', 0.684):('pos', 0.132):('compound', -0.2484)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.451):('neu', 0.549):('pos', 0.0):('compound', -0.6249)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.541):('pos', 0.459):('compound', 0.5256)
('neg', 0.0):('neu', 0.698):('pos', 0.302):('compound', 0.0772)
('neg', 0.184):('neu', 0.684):('pos', 0.132):('compound', -0.2484)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.451):('neu', 0.549):('pos', 0.0):('compound', -0.6249)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.541):('pos', 0.459):('compound', 0.5256)
('neg', 0.0):('neu', 0.741):('pos', 0.259):('compound', 0.681)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.847):('pos', 0.153):('compound', 0.4404)
('neg', 0.237):('neu', 0.439):('pos', 0.325):('compound', 0.25)
('neg', 0.0):('neu', 0.805):('pos', 0.195):('compound', 0.4404)
('neg', 0.4):('neu', 0.6):('pos', 0.0):('compound', -0.6866)
('neg', 0.403):('neu', 0.597):('pos', 0.0):('compound', -0.4019)
('neg', 0.231):('neu', 0.769):('pos', 0.0):('compound', -0.7184)
('neg', 0.064):('neu', 0.792):('pos', 0.144):('compound', 0.3818)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.244):('neu', 0.756):('pos', 0.0):('compound', -0.4404)
('neg', 0.0):('neu', 0.619):('pos', 0.381):('compound', 0.5719)
('neg', 0.213):('neu', 0.787):('pos', 0.0):('compound', -0.4019)
('neg', 0.19):('neu', 0.635):('pos', 0.175):('compound', 0.1531)
('neg', 0.339):('neu', 0.661):('pos', 0.0):('compound', -0.6249)
('neg', 0.0):('neu', 0.516):('pos', 0.484):('compound', 0.9335)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.136):('neu', 0.864):('pos', 0.0):('compound', -0.296)
('neg', 0.244):('neu', 0.756):('pos', 0.0):('compound', -0.4404)
('neg', 0.0):('neu', 0.619):('pos', 0.381):('compound', 0.5719)
('neg', 0.213):('neu', 0.787):('pos', 0.0):('compound', -0.4019)
('neg', 0.19):('neu', 0.635):('pos', 0.175):('compound', 0.1531)
('neg', 0.339):('neu', 0.661):('pos', 0.0):('compound', -0.6249)
('neg', 0.0):('neu', 0.516):('pos', 0.484):('compound', 0.9335)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.136):('neu', 0.864):('pos', 0.0):('compound', -0.296)
('neg', 0.252):('neu', 0.748):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.401):('pos', 0.599):('compound', 0.8873)
('neg', 0.25):('neu', 0.75):('pos', 0.0):('compound', -0.4576)
('neg', 0.145):('neu', 0.855):('pos', 0.0):('compound', -0.1779)
('neg', 0.351):('neu', 0.649):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.725):('pos', 0.275):('compound', 0.6892)
('neg', 0.123):('neu', 0.877):('pos', 0.0):('compound', -0.2023)
('neg', 0.0):('neu', 0.749):('pos', 0.251):('compound', 0.8122)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.558):('pos', 0.442):('compound', 0.5801)
('neg', 0.0):('neu', 0.738):('pos', 0.262):('compound', 0.4939)
('neg', 0.412):('neu', 0.588):('pos', 0.0):('compound', -0.5423)
('neg', 0.133):('neu', 0.601):('pos', 0.266):('compound', 0.4767)
('neg', 0.232):('neu', 0.582):('pos', 0.186):('compound', -0.2019)
('neg', 0.0):('neu', 0.558):('pos', 0.442):('compound', 0.5801)
('neg', 0.0):('neu', 0.738):('pos', 0.262):('compound', 0.4939)
('neg', 0.412):('neu', 0.588):('pos', 0.0):('compound', -0.5423)
('neg', 0.133):('neu', 0.601):('pos', 0.266):('compound', 0.4767)
('neg', 0.232):('neu', 0.582):('pos', 0.186):('compound', -0.2019)
('neg', 0.636):('neu', 0.364):('pos', 0.0):('compound', -0.5423)
('neg', 0.221):('neu', 0.41):('pos', 0.369):('compound', 0.2023)
('neg', 0.548):('neu', 0.452):('pos', 0.0):('compound', -0.8176)
('neg', 0.167):('neu', 0.557):('pos', 0.276):('compound', 0.194)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.498):('pos', 0.502):('compound', 0.7232)
('neg', 0.0):('neu', 0.656):('pos', 0.344):('compound', 0.6369)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.823):('pos', 0.177):('compound', 0.4767)
('neg', 0.278):('neu', 0.722):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.475):('pos', 0.525):('compound', 0.7672)
('neg', 0.0):('neu', 0.633):('pos', 0.367):('compound', 0.4404)
('neg', 0.529):('neu', 0.471):('pos', 0.0):('compound', -0.8402)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.256):('neu', 0.744):('pos', 0.0):('compound', -0.4767)
('neg', 0.529):('neu', 0.471):('pos', 0.0):('compound', -0.8402)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.256):('neu', 0.744):('pos', 0.0):('compound', -0.4767)
('neg', 0.159):('neu', 0.589):('pos', 0.253):('compound', 0.1511)
('neg', 0.246):('neu', 0.556):('pos', 0.198):('compound', -0.1531)
('neg', 0.159):('neu', 0.708):('pos', 0.133):('compound', -0.1134)
('neg', 0.092):('neu', 0.692):('pos', 0.215):('compound', 0.3818)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.14):('neu', 0.518):('pos', 0.342):('compound', 0.5994)
('neg', 0.0):('neu', 0.803):('pos', 0.197):('compound', 0.6597)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.782):('pos', 0.218):('compound', 0.5622)
('neg', 0.16):('neu', 0.355):('pos', 0.485):('compound', 0.7568)
('neg', 0.473):('neu', 0.527):('pos', 0.0):('compound', -0.8015)
('neg', 0.0):('neu', 0.7):('pos', 0.3):('compound', 0.4588)
('neg', 0.278):('neu', 0.722):('pos', 0.0):('compound', -0.4019)
('neg', 0.218):('neu', 0.647):('pos', 0.135):('compound', -0.2579)
('neg', 0.196):('neu', 0.362):('pos', 0.442):('compound', 0.5267)
('neg', 0.0):('neu', 0.541):('pos', 0.459):('compound', 0.8237)
('neg', 0.0):('neu', 0.566):('pos', 0.434):('compound', 0.657)
('neg', 0.0):('neu', 0.541):('pos', 0.459):('compound', 0.8237)
('neg', 0.0):('neu', 0.566):('pos', 0.434):('compound', 0.657)
('neg', 0.236):('neu', 0.541):('pos', 0.223):('compound', -0.0516)
('neg', 0.2):('neu', 0.8):('pos', 0.0):('compound', -0.4576)
('neg', 0.0):('neu', 0.384):('pos', 0.616):('compound', 0.9378)
('neg', 0.472):('neu', 0.528):('pos', 0.0):('compound', -0.5538)
('neg', 0.184):('neu', 0.816):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.732):('pos', 0.268):('compound', 0.5106)
('neg', 0.561):('neu', 0.439):('pos', 0.0):('compound', -0.7506)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.412):('neu', 0.588):('pos', 0.0):('compound', -0.1027)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.252):('neu', 0.748):('pos', 0.0):('compound', -0.4019)
('neg', 0.092):('neu', 0.845):('pos', 0.063):('compound', -0.2023)
('neg', 0.092):('neu', 0.845):('pos', 0.063):('compound', -0.2023)
('neg', 0.0):('neu', 0.816):('pos', 0.184):('compound', 0.3089)
('neg', 0.403):('neu', 0.597):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.745):('pos', 0.255):('compound', 0.7804)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.847):('pos', 0.153):('compound', 0.4848)
('neg', 0.0):('neu', 0.584):('pos', 0.416):('compound', 0.431)
('neg', 0.337):('neu', 0.225):('pos', 0.438):('compound', 0.2263)
('neg', 0.0):('neu', 0.847):('pos', 0.153):('compound', 0.4848)
('neg', 0.0):('neu', 0.584):('pos', 0.416):('compound', 0.431)
('neg', 0.337):('neu', 0.225):('pos', 0.438):('compound', 0.2263)
('neg', 0.0):('neu', 0.588):('pos', 0.412):('compound', 0.6369)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.231):('neu', 0.769):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.403):('neu', 0.597):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.114):('neu', 0.38):('pos', 0.506):('compound', 0.8825)
('neg', 0.275):('neu', 0.725):('pos', 0.0):('compound', -0.2263)
('neg', 0.0):('neu', 0.244):('pos', 0.756):('compound', 0.4767)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.228):('pos', 0.772):('compound', 0.8795)
('neg', 0.0):('neu', 0.846):('pos', 0.154):('compound', 0.25)
('neg', 0.494):('neu', 0.506):('pos', 0.0):('compound', -0.5994)
('neg', 0.0):('neu', 0.792):('pos', 0.208):('compound', 0.3321)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.435):('pos', 0.565):('compound', 0.7579)
('neg', 0.047):('neu', 0.487):('pos', 0.466):('compound', 0.9461)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.435):('pos', 0.565):('compound', 0.7579)
('neg', 0.047):('neu', 0.487):('pos', 0.466):('compound', 0.9461)
('neg', 0.0):('neu', 0.417):('pos', 0.583):('compound', 0.4215)
('neg', 0.0):('neu', 0.365):('pos', 0.635):('compound', 0.9034)
('neg', 0.313):('neu', 0.687):('pos', 0.0):('compound', -0.6249)
('neg', 0.306):('neu', 0.694):('pos', 0.0):('compound', -0.5267)
('neg', 0.0):('neu', 0.392):('pos', 0.608):('compound', 0.7345)
('neg', 0.255):('neu', 0.745):('pos', 0.0):('compound', -0.34)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.257):('neu', 0.476):('pos', 0.267):('compound', 0.0258)
('neg', 0.368):('neu', 0.632):('pos', 0.0):('compound', -0.5423)
('neg', 0.158):('neu', 0.767):('pos', 0.074):('compound', -0.5095)
('neg', 0.148):('neu', 0.44):('pos', 0.412):('compound', 0.6988)
('neg', 0.09):('neu', 0.748):('pos', 0.162):('compound', 0.2846)
('neg', 0.0):('neu', 0.545):('pos', 0.455):('compound', 0.3612)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.391):('neu', 0.29):('pos', 0.319):('compound', -0.128)
('neg', 0.0):('neu', 0.737):('pos', 0.263):('compound', 0.3612)
('neg', 0.0):('neu', 0.741):('pos', 0.259):('compound', 0.6369)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.565):('neu', 0.435):('pos', 0.0):('compound', -0.0772)
('neg', 0.0):('neu', 0.441):('pos', 0.559):('compound', 0.5859)
('neg', 0.298):('neu', 0.702):('pos', 0.0):('compound', -0.4549)
('neg', 0.403):('neu', 0.597):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.597):('pos', 0.403):('compound', 0.4019)
('neg', 0.0):('neu', 0.588):('pos', 0.412):('compound', 0.5423)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.319):('neu', 0.681):('pos', 0.0):('compound', -0.855)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.068):('neu', 0.855):('pos', 0.077):('compound', 0.0516)
('neg', 0.162):('neu', 0.838):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.741):('pos', 0.259):('compound', 0.6369)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.565):('neu', 0.435):('pos', 0.0):('compound', -0.0772)
('neg', 0.0):('neu', 0.441):('pos', 0.559):('compound', 0.5859)
('neg', 0.298):('neu', 0.702):('pos', 0.0):('compound', -0.4549)
('neg', 0.403):('neu', 0.597):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.597):('pos', 0.403):('compound', 0.4019)
('neg', 0.0):('neu', 0.588):('pos', 0.412):('compound', 0.5423)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.319):('neu', 0.681):('pos', 0.0):('compound', -0.855)
('neg', 0.31):('neu', 0.69):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.068):('neu', 0.855):('pos', 0.077):('compound', 0.0516)
('neg', 0.162):('neu', 0.838):('pos', 0.0):('compound', -0.4019)
('neg', 0.368):('neu', 0.632):('pos', 0.0):('compound', -0.5423)
('neg', 0.574):('neu', 0.426):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 0.741):('pos', 0.259):('compound', 0.4215)
('neg', 0.0):('neu', 0.647):('pos', 0.353):('compound', 0.7603)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.843):('pos', 0.157):('compound', 0.5994)
('neg', 0.36):('neu', 0.133):('pos', 0.507):('compound', 0.2732)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.802):('pos', 0.198):('compound', 0.6369)
('neg', 0.0):('neu', 0.817):('pos', 0.183):('compound', 0.5859)
('neg', 0.574):('neu', 0.426):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.843):('pos', 0.157):('compound', 0.5994)
('neg', 0.36):('neu', 0.133):('pos', 0.507):('compound', 0.2732)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.802):('pos', 0.198):('compound', 0.6369)
('neg', 0.0):('neu', 0.817):('pos', 0.183):('compound', 0.5859)
('neg', 0.574):('neu', 0.426):('pos', 0.0):('compound', -0.4019)
('neg', 0.412):('neu', 0.588):('pos', 0.0):('compound', -0.5423)
('neg', 0.415):('neu', 0.154):('pos', 0.431):('compound', 0.0258)
('neg', 0.246):('neu', 0.493):('pos', 0.261):('compound', 0.0516)
('neg', 0.0):('neu', 0.629):('pos', 0.371):('compound', 0.7088)
('neg', 0.0):('neu', 0.476):('pos', 0.524):('compound', 0.765)
('neg', 0.0):('neu', 0.822):('pos', 0.178):('compound', 0.0772)
('neg', 0.0):('neu', 0.614):('pos', 0.386):('compound', 0.5255)
('neg', 0.252):('neu', 0.748):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.756):('pos', 0.244):('compound', 0.6369)
('neg', 0.181):('neu', 0.247):('pos', 0.572):('compound', 0.6948)
('neg', 0.0):('neu', 0.58):('pos', 0.42):('compound', 0.4404)
('neg', 0.166):('neu', 0.474):('pos', 0.36):('compound', 0.5994)
('neg', 0.73):('neu', 0.27):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.221):('neu', 0.779):('pos', 0.0):('compound', -0.659)
('neg', 0.0):('neu', 0.625):('pos', 0.375):('compound', 0.7184)
('neg', 0.315):('neu', 0.557):('pos', 0.128):('compound', -0.5209)
('neg', 0.147):('neu', 0.853):('pos', 0.0):('compound', -0.4767)
('neg', 0.166):('neu', 0.474):('pos', 0.36):('compound', 0.5994)
('neg', 0.73):('neu', 0.27):('pos', 0.0):('compound', -0.4019)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.221):('neu', 0.779):('pos', 0.0):('compound', -0.659)
('neg', 0.0):('neu', 0.625):('pos', 0.375):('compound', 0.7184)
('neg', 0.315):('neu', 0.557):('pos', 0.128):('compound', -0.5209)
('neg', 0.147):('neu', 0.853):('pos', 0.0):('compound', -0.4767)
('neg', 0.0):('neu', 0.674):('pos', 0.326):('compound', 0.4404)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.066):('neu', 0.383):('pos', 0.551):('compound', 0.9279)
('neg', 0.0):('neu', 0.678):('pos', 0.322):('compound', 0.8745)
('neg', 0.574):('neu', 0.426):('pos', 0.0):('compound', -0.4019)
('neg', 0.195):('neu', 0.805):('pos', 0.0):('compound', -0.5256)
('neg', 0.0):('neu', 0.756):('pos', 0.244):('compound', 0.3089)
('neg', 0.213):('neu', 0.787):('pos', 0.0):('compound', -0.4019)
('neg', 0.071):('neu', 0.68):('pos', 0.249):('compound', 0.6705)
('neg', 0.348):('neu', 0.452):('pos', 0.2):('compound', -0.3182)
('neg', 0.406):('neu', 0.594):('pos', 0.0):('compound', -0.6249)
('neg', 0.0):('neu', 0.559):('pos', 0.441):('compound', 0.8573)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.371):('neu', 0.629):('pos', 0.0):('compound', -0.6486)
('neg', 0.133):('neu', 0.867):('pos', 0.0):('compound', -0.0572)
('neg', 0.0):('neu', 0.776):('pos', 0.224):('compound', 0.3818)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.192):('pos', 0.808):('compound', 0.6369)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.193):('neu', 0.645):('pos', 0.161):('compound', -0.1263)
('neg', 0.137):('neu', 0.742):('pos', 0.121):('compound', -0.09)
('neg', 0.133):('neu', 0.867):('pos', 0.0):('compound', -0.0572)
('neg', 0.0):('neu', 0.776):('pos', 0.224):('compound', 0.3818)
('neg', 0.0):('neu', 1.0):('pos', 0.0):('compound', 0.0)
('neg', 0.0):('neu', 0.192):('pos', 0.808):('compound', 0.6369)
('neg', 0.474):('neu', 0.526):('pos', 0.0):('compound', -0.4019)
('neg', 0.193):('neu', 0.645):('pos', 0.161):('compound', -0.1263)
